ciclo,userId,contratoId,intento_exitoso,operacion_exitosa,token_valido,caso
1,empleado_4,3,False,False,True,caso3
2,empleado_4,2,False,False,True,caso3
3,empleado_4,4,False,False,False,caso2
4,aspirante_1,1,False,False,True,caso4
5,empleado_1,1,True,True,True,caso1
6,aspirante_2,2,False,False,True,caso4
7,empleado_4,1,False,False,True,caso3
8,empleado_1,2,False,False,True,caso3
9,empleado_2,4,False,False,True,caso3
10,empleado_4,4,True,True,True,caso1
11,empleado_4,4,False,False,False,caso2
12,empleado_2,2,True,True,True,caso1
13,aspirante_2,3,False,False,True,caso5
14,empleado_4,4,False,False,False,caso2
15,empleado_3,3,False,False,False,caso2
16,empleado_4,4,True,True,True,caso1
17,aspirante_4,3,False,False,True,caso5
18,aspirante_1,3,False,False,True,caso5
19,aspirante_1,1,False,False,True,caso4
20,aspirante_4,2,False,False,True,caso5
21,aspirante_2,2,False,False,True,caso4
22,empleado_2,2,True,True,True,caso1
23,aspirante_3,3,False,False,True,caso4
24,empleado_1,1,False,False,False,caso2
25,empleado_2,2,True,True,True,caso1
26,empleado_2,1,False,False,True,caso3
27,aspirante_4,3,False,False,True,caso5
28,empleado_1,1,False,False,False,caso2
29,empleado_1,1,True,True,True,caso1
30,aspirante_4,1,False,False,True,caso5
31,aspirante_1,3,False,False,True,caso5
32,aspirante_2,4,False,False,True,caso5
33,empleado_3,1,False,False,True,caso3
34,empleado_4,4,False,False,False,caso2
35,empleado_1,1,False,False,False,caso2
36,empleado_4,4,True,True,True,caso1
37,empleado_4,2,False,False,True,caso3
38,empleado_3,1,False,False,True,caso3
39,aspirante_2,2,False,False,True,caso4
40,aspirante_2,2,False,False,True,caso4
41,aspirante_4,1,False,False,True,caso5
42,aspirante_4,4,False,False,True,caso4
43,empleado_1,1,False,False,False,caso2
44,empleado_1,1,True,True,True,caso1
45,empleado_3,3,True,True,True,caso1
46,aspirante_2,3,False,False,True,caso5
47,aspirante_1,3,False,False,True,caso5
48,empleado_1,1,False,False,False,caso2
49,aspirante_1,4,False,False,True,caso5
50,aspirante_3,1,False,False,True,caso5
51,aspirante_2,2,False,False,True,caso4
52,empleado_4,1,False,False,True,caso3
53,empleado_3,3,False,False,False,caso2
54,empleado_4,4,False,False,False,caso2
55,aspirante_4,2,False,False,True,caso5
56,empleado_1,4,False,False,True,caso3
57,empleado_3,3,True,True,True,caso1
58,aspirante_1,1,False,False,True,caso4
59,empleado_2,2,True,True,True,caso1
60,empleado_1,1,True,True,True,caso1
61,empleado_3,3,False,False,False,caso2
62,empleado_1,1,True,True,True,caso1
63,empleado_4,1,False,False,True,caso3
64,empleado_3,3,False,False,False,caso2
65,aspirante_3,3,False,False,True,caso4
66,empleado_2,2,True,True,True,caso1
67,empleado_1,2,False,False,True,caso3
68,empleado_2,2,True,True,True,caso1
69,empleado_4,4,True,True,True,caso1
70,empleado_2,1,False,False,True,caso3
71,empleado_3,2,False,False,True,caso3
72,empleado_1,1,False,False,False,caso2
73,aspirante_3,2,False,False,True,caso5
74,empleado_2,2,True,True,True,caso1
75,aspirante_4,4,False,False,True,caso4
76,aspirante_1,1,False,False,True,caso4
77,aspirante_4,3,False,False,True,caso5
78,aspirante_3,1,False,False,True,caso5
79,empleado_2,2,False,False,False,caso2
80,empleado_3,3,True,True,True,caso1
81,aspirante_1,3,False,False,True,caso5
82,empleado_3,1,False,False,True,caso3
83,empleado_2,2,True,True,True,caso1
84,aspirante_4,2,False,False,True,caso5
85,aspirante_2,4,False,False,True,caso5
86,empleado_2,2,False,False,False,caso2
87,aspirante_2,4,False,False,True,caso5
88,empleado_2,2,True,True,True,caso1
89,aspirante_1,2,False,False,True,caso5
90,aspirante_2,3,False,False,True,caso5
91,empleado_2,2,True,True,True,caso1
92,empleado_4,3,False,False,True,caso3
93,empleado_2,4,False,False,True,caso3
94,aspirante_1,1,False,False,True,caso4
95,aspirante_4,4,False,False,True,caso4
96,empleado_3,3,True,True,True,caso1
97,empleado_2,2,True,True,True,caso1
98,empleado_2,3,False,False,True,caso3
99,aspirante_4,4,False,False,True,caso4
100,empleado_1,1,True,True,True,caso1
101,empleado_3,3,False,False,False,caso2
102,empleado_4,4,True,True,True,caso1
103,empleado_2,2,True,True,True,caso1
104,aspirante_3,1,False,False,True,caso5
105,empleado_1,1,True,True,True,caso1
106,aspirante_1,1,False,False,True,caso4
107,empleado_4,4,True,True,True,caso1
108,aspirante_4,2,False,False,True,caso5
109,empleado_3,4,False,False,True,caso3
110,empleado_4,4,False,False,False,caso2
111,empleado_3,1,False,False,True,caso3
112,empleado_1,1,True,True,True,caso1
113,empleado_1,1,True,True,True,caso1
114,empleado_1,1,True,True,True,caso1
115,empleado_4,4,True,True,True,caso1
116,empleado_2,2,False,False,False,caso2
117,empleado_2,2,False,False,False,caso2
118,empleado_3,3,True,True,True,caso1
119,empleado_4,4,True,True,True,caso1
120,aspirante_1,1,False,False,True,caso4
121,aspirante_4,4,False,False,True,caso4
122,aspirante_3,3,False,False,True,caso4
123,aspirante_3,2,False,False,True,caso5
124,aspirante_1,2,False,False,True,caso5
125,empleado_2,2,True,True,True,caso1
126,aspirante_4,4,False,False,True,caso4
127,aspirante_3,2,False,False,True,caso5
128,empleado_2,2,True,True,True,caso1
129,empleado_2,2,True,True,True,caso1
130,empleado_1,1,True,True,True,caso1
131,aspirante_1,1,False,False,True,caso4
132,empleado_4,4,False,False,False,caso2
133,empleado_3,1,False,False,True,caso3
134,empleado_2,2,True,True,True,caso1
135,aspirante_3,4,False,False,True,caso5
136,empleado_2,3,False,False,True,caso3
137,empleado_1,1,False,False,False,caso2
138,empleado_1,1,False,False,False,caso2
139,empleado_4,4,True,True,True,caso1
140,aspirante_3,4,False,False,True,caso5
141,empleado_2,2,True,True,True,caso1
142,aspirante_3,4,False,False,True,caso5
143,aspirante_3,2,False,False,True,caso5
144,aspirante_3,1,False,False,True,caso5
145,empleado_1,1,True,True,True,caso1
146,aspirante_1,4,False,False,True,caso5
147,empleado_1,1,True,True,True,caso1
148,empleado_2,3,False,False,True,caso3
149,aspirante_1,1,False,False,True,caso4
150,empleado_4,3,False,False,True,caso3
151,aspirante_3,4,False,False,True,caso5
152,aspirante_1,1,False,False,True,caso4
153,aspirante_2,1,False,False,True,caso5
154,aspirante_1,2,False,False,True,caso5
155,empleado_2,2,False,False,False,caso2
156,aspirante_4,3,False,False,True,caso5
157,empleado_4,4,False,False,False,caso2
158,aspirante_2,3,False,False,True,caso5
159,empleado_1,1,False,False,False,caso2
160,empleado_3,3,False,False,False,caso2
161,empleado_2,2,False,False,False,caso2
162,aspirante_3,3,False,False,True,caso4
163,empleado_2,2,True,True,True,caso1
164,empleado_2,2,False,False,False,caso2
165,empleado_3,3,False,False,False,caso2
166,aspirante_2,4,False,False,True,caso5
167,empleado_1,2,False,False,True,caso3
168,empleado_1,1,True,True,True,caso1
169,aspirante_4,4,False,False,True,caso4
170,empleado_1,1,True,True,True,caso1
171,empleado_2,2,True,True,True,caso1
172,empleado_2,2,True,True,True,caso1
173,empleado_1,1,False,False,False,caso2
174,empleado_1,1,True,True,True,caso1
175,empleado_1,1,True,True,True,caso1
176,empleado_2,2,True,True,True,caso1
177,empleado_4,4,False,False,False,caso2
178,aspirante_1,1,False,False,True,caso4
179,aspirante_4,3,False,False,True,caso5
180,empleado_1,4,False,False,True,caso3
181,empleado_1,4,False,False,True,caso3
182,aspirante_2,3,False,False,True,caso5
183,empleado_2,4,False,False,True,caso3
184,aspirante_3,3,False,False,True,caso4
185,empleado_4,4,True,True,True,caso1
186,empleado_2,2,False,False,False,caso2
187,aspirante_3,3,False,False,True,caso4
188,empleado_3,3,False,False,False,caso2
189,empleado_4,4,True,True,True,caso1
190,empleado_2,1,False,False,True,caso3
191,empleado_4,2,False,False,True,caso3
192,empleado_4,4,True,True,True,caso1
193,empleado_4,3,False,False,True,caso3
194,empleado_4,4,False,False,False,caso2
195,aspirante_4,2,False,False,True,caso5
